2562,31,0
22354,54,0
40926,58,1
32622,57,0
36053,69,1
14269,60,1
32929,60,1
26743,8,1
15811,74,1
26954,54,1
1576,23,1
42175,66,1
3895,45,1
17320,64,1
27959,12,1
32839,40,0
23313,6,0
14490,90,1
24332,56,0
30551,30,0
37013,39,1
21292,40,1
26745,9,0
20654,8,0
21580,82,1
40582,77,0
39022,56,0
5234,56,0
9537,35,0
12115,10,1
16003,80,1
12000,65,1
34369,64,1
11929,48,0
44522,32,1
25421,42,1
26098,17,0
32451,1,1
7164,49,1
41810,1,1
14404,55,1
8640,72,0
38984,66,1
18200,10,0
25861,45,1
21943,78,0
6038,49,0
4173,50,0
36333,78,1
30271,14,1
34624,80,1
28346,27,1
6562,53,0
16369,89,1
3999,34,1
28043,45,0
11951,75,0
42921,89,0
33178,11,1
21389,20,0
10035,9,0
4180,1,0
33289,85,1
44305,72,1
16009,48,1
32811,26,1
24726,24,1
42008,65,0
20261,27,0
31791,72,0
38817,65,1
34566,81,0
40331,54,0
32801,41,1
7765,90,0
21192,9,0
9743,28,1
13704,49,1
25265,59,1
1075,15,1
43875,63,1
14889,48,0
29321,41,1
5437,26,1
31158,46,1
33221,74,0
33380,70,0
43010,31,1
31142,73,1
21557,81,1
19398,50,0
41077,81,1
25638,81,0
7686,45,1
40382,62,1
41548,39,0
40398,70,1
20107,86,0
38555,13,0
15658,6,0
6897,68,0
32372,77,0
5224,87,0
2228,31,1
20172,27,1
12889,86,1
23321,40,0
29815,55,1
26493,45,1
3585,8,1
30791,69,0
25368,17,0
18374,56,1
15112,19,1
30705,42,0
4532,12,0
3332,3,0
19085,22,0
2541,43,0
34374,75,0
40543,13,0
21840,3,0
30451,66,1
21180,4,0
29427,47,0
25832,38,0
17728,42,1
24824,26,0
939,33,0
11282,54,1
40383,32,0
7737,10,0
43555,41,0
606,28,0
9866,41,1
18726,68,1
13396,24,0
33087,80,0
3541,32,1
39790,68,1
36572,88,1
34232,11,1
20157,84,1
9946,53,0
4343,30,1
5862,36,1
14379,65,1
7576,32,0
24847,58,0
16821,17,1
41851,17,0
20389,70,0
38561,19,0
27301,82,1
41470,73,1
22988,65,1
8133,29,0
14197,24,0
2811,1,1
8973,62,0
25380,78,0
43094,32,0
16610,71,1
23934,28,0
43601,60,0
26376,22,1
42561,6,0
11997,83,1
14463,11,1
1101,38,0
6786,61,0
6035,9,0
35234,48,0
26844,55,0
15881,61,1
39478,77,1
32606,90,0
30161,36,0
2053,19,0
12453,57,0
1981,52,0
43805,35,1
32743,36,1
40443,71,0
26105,27,1
29213,18,1
18430,45,0
34139,56,1
43310,42,1
21141,46,0
43012,27,0
23690,29,0
19235,78,0
14622,8,0
2624,57,1
17836,47,1
40898,29,1
184,62,0
29733,40,0
10361,40,1
1186,9,0
36420,10,0
16296,48,0
36320,57,0
18263,64,0
32078,19,1
30797,43,0
5869,63,1
17238,54,1
32751,61,1
18222,30,1
19119,15,1
31555,6,0
5964,66,1
14561,85,0
12660,32,1
35077,84,0
32892,40,0
1798,87,1
33387,35,0
9033,86,0
44711,23,1
12077,64,0
28169,73,1
14332,30,1
14601,30,0
1004,30,0
10230,58,1
14686,2,0
30638,69,0
20491,7,1
15772,11,0
22057,78,1
36687,55,1
7092,67,1
40221,52,0
23764,73,0
37790,20,1
1089,24,1
40903,36,1
25540,81,0
19212,54,1
15021,51,1
12095,86,0
25077,29,0
29483,46,1
24655,27,0
15153,22,1
17374,86,0
26354,24,1
3540,56,1
26308,81,1
26064,46,1
15518,30,0
9476,63,0
40296,76,0
30019,60,0
10380,3,0
5525,44,0
44606,61,1
40919,71,1
25916,51,1
15378,72,0
17975,58,0
17602,15,0
22370,49,1
13196,19,1
41267,87,1
15160,68,1
14185,43,0
37169,33,0
40600,58,1
33297,7,0
7190,83,0
7695,53,0
13373,35,1
36574,39,1
32250,80,1
28427,57,0
8948,34,1
13603,13,0
31868,23,0
35156,25,0
39567,59,1
2385,52,1
44532,87,0
34863,44,0
32305,21,0
9912,90,1
40288,87,1
31910,82,1
5830,70,0
21203,48,1
2287,63,1
23706,38,1
38706,62,0
24558,21,1
36802,57,1
34973,59,1
39618,89,0
5986,10,0
27142,1,0
35218,57,0
39184,16,0
34232,84,0
42813,19,1
7557,50,1
25806,32,1
30063,9,0
35884,16,0
34654,66,1
43566,21,1
22752,39,0
24809,90,1
38133,80,1
25037,90,0
24341,87,0
27995,33,0
12341,20,0
34153,86,0
23282,30,1
44152,11,0
39884,65,1
44386,77,0
1438,74,0
18589,12,1
38092,49,1
25896,5,1
10390,68,0
28064,17,0
20514,3,0
16277,78,0
10206,18,0
10731,60,1
10461,3,1
44339,11,0
8544,79,0
17918,53,1
25144,43,0
38507,87,1
8802,69,1
14797,18,1
37072,18,0
31454,17,0
39507,17,1
30205,7,0
11491,16,0
18847,13,0
13199,40,0
23733,36,1
7999,8,0
36382,70,0
22884,47,1
2882,73,1
35768,57,1
24223,31,1
21372,84,1
28859,15,0
5118,35,1
31662,62,1
11923,32,0
25533,38,1
2939,49,0
22030,49,0
36164,7,0
13300,51,0
21368,60,1
44608,85,1
31119,14,1
1511,13,1
38114,82,0
39821,82,1
16209,30,0
30186,9,1
26274,8,1
10715,46,1
15391,16,1
37665,24,0
29462,59,0
28490,55,1
16397,59,1
37362,66,0
19872,34,0
39182,16,0
40145,48,0
10640,90,1
18404,46,1
16516,42,0
39400,15,1
23423,80,1
3178,14,1
6323,47,1
3955,28,1
6018,62,0
28253,6,0
40019,35,0
19219,23,1
4620,65,1
39627,29,1
5337,37,1
6032,77,0
32741,20,0
157,28,0
22141,17,1
17926,29,1
26331,36,1
32756,63,1
33217,44,0
18996,59,1
17218,31,1
16707,9,0
35294,28,1
9580,7,0
36480,42,1
29475,43,1
4725,55,0
2119,42,0
2878,89,1
21141,7,0
41420,56,1
26201,79,0
24220,20,0
2742,13,1
30056,16,1
30139,82,1
30895,18,0
25075,50,1
4357,15,1
35416,82,0
19701,79,1
9594,51,0
41348,69,1
7441,9,1
9651,79,0
18488,85,0
25268,37,0
35883,24,0
6244,58,0
13485,81,1
9879,82,0
23363,88,1
30093,89,0
172,20,1
32844,4,1
21572,41,1
29548,63,1
37469,59,0
23592,82,0
32326,61,0
13610,65,1
20011,48,0
13527,50,1
37731,84,0
22654,60,1
43484,66,1
22869,75,0
8549,77,0
23559,25,1
27126,90,1
43865,69,0
43160,14,0
36621,50,0
40213,48,0
5601,22,0
1272,38,0
13701,43,0
30770,59,0
37055,61,1
19845,10,1
44155,49,0
1934,53,0
43109,7,0
29248,48,1
2007,73,0
30952,11,0
5819,88,1
31455,45,1
23420,70,1
29312,80,1
18781,16,0
36931,44,1
4323,37,1
32209,65,1
29661,38,0
26877,7,1
30692,40,0
7529,22,1
35326,84,1
9250,65,0
34555,22,0
34191,62,0
7410,79,0
26176,71,1
29403,20,0
12912,10,0
27348,19,0
43004,62,1
43583,69,1
19402,80,1
17849,72,1
